nombre,provincia,region,superficie,poblacion,idh
Arica,Arica,Arica y Parinacota,4799.4,210936,0.384
Camarones,Arica,Arica y Parinacota,3927.0,679,0.7509999999999999
Putre,Parinacota,Arica y Parinacota,5902.5,1462,0.7070000000000001
General Lagos,Parinacota,Arica y Parinacota,2244.4,739,0.67
Iquique,Iquique,Tarapacá,2242.1,184953,0.7659999999999999
Alto Hospicio,Iquique,Tarapacá,572.9,94455,0.6869677419354838
Pozo Almonte,Tamarugal,Tarapacá,13765.8,11519,0.722
Camiña,Tamarugal,Tarapacá,2200.2,1156,0.619
Colchane,Tamarugal,Tarapacá,4015.6,1384,0.603
Huara,Tamarugal,Tarapacá,10474.6,2360,0.6759999999999999
Pica,Tamarugal,Tarapacá,8934.3,4194,0.7929999999999999
Antofagasta,Antofagasta,Antofagasta,30718.1,348669,0.7340000000000001
Mejillones,Antofagasta,Antofagasta,3803.9,9752,0.73
Sierra Gorda,Antofagasta,Antofagasta,12886.0,1206,0.789
Taltal,Antofagasta,Antofagasta,20405.1,13493,0.716
Calama,El Loa,Antofagasta,15596.9,147886,0.757
Ollagüe,El Loa,Antofagasta,2964.0,332,0.679
San Pedro de Atacama,El Loa,Antofagasta,23439.0,5605,0.711
Tocopilla,Tocopilla,Antofagasta,4038.8,20091,0.69
María Elena,Tocopilla,Antofagasta,12197.0,4593,0.779
Copiapó,Copiapó,Atacama,16681.3,158261,0.725
Caldera,Copiapó,Atacama,4666.6,16150,0.741
Tierra Amarilla,Copiapó,Atacama,11191.0,13912,0.6859999999999999
Chañaral,Chañaral,Atacama,5772.0,14146,0.7140000000000001
Diego de Almagro,Chañaral,Atacama,18664.0,16452,0.789
Vallenar,Huasco,Atacama,7084.0,52099,0.731
Alto del Carmen,Huasco,Atacama,5939.0,5488,0.664
Freirina,Huasco,Atacama,3207.9,6531,0.693
Huasco,Huasco,Atacama,1601.4,9015,0.695
La Serena,Elqui,Coquimbo,1892.8,211275,0.7809999999999999
Coquimbo,Elqui,Coquimbo,1429.0,202441,0.731
Andacollo,Elqui,Coquimbo,310.0,11116,0.675
La Higuera,Elqui,Coquimbo,4158.2,4331,0.67
Paihuano,Elqui,Coquimbo,1495.0,4252,0.7340000000000001
Vicuña,Elqui,Coquimbo,7610.0,26029,0.716
Illapel,Choapa,Coquimbo,2629.0,30598,0.667
Canela,Choapa,Coquimbo,2196.6,9182,0.644
Los Vilos,Choapa,Coquimbo,1823.8,18483,0.675
Salamanca,Choapa,Coquimbo,3445.0,25671,0.6759999999999999
Ovalle,Limarí,Coquimbo,3835.0,112956,0.725
Combarbalá,Limarí,Coquimbo,2257.5,13818,0.6609999999999999
Monte Patria,Limarí,Coquimbo,4366.9,30137,0.653
Punitaqui,Limarí,Coquimbo,1339.0,10418,0.653
Río Hurtado,Limarí,Coquimbo,2180.0,4149,0.653
Valparaíso,Valparaíso,Valparaíso,401.6,308137,0.701
Casablanca,Valparaíso,Valparaíso,953.0,25165,0.7120000000000001
Concón,Valparaíso,Valparaíso,76.0,63210,0.7809999999999999
Juan Fernández,Valparaíso,Valparaíso,149.4,792,0.7440000000000001
Puchuncaví,Valparaíso,Valparaíso,300.0,16371,0.7340000000000001
Quintero,Valparaíso,Valparaíso,148.0,28066,0.733
Viña del Mar,Valparaíso,Valparaíso,121.6,311399,0.7659999999999999
Isla de Pascua,Isla de Pascua,Valparaíso,163.6,5761,0.715
Los Andes,Los Andes,Valparaíso,1248.0,110866,0.7559999999999999
Calle Larga,Los Andes,Valparaíso,321.7,11110,0.706
Rinconada,Los Andes,Valparaíso,122.5,8097,0.691
San Esteban,Los Andes,Valparaíso,681.0,17371,0.732
La Ligua,Petorca,Valparaíso,1163.0,38524,0.708
Cabildo,Petorca,Valparaíso,1455.0,21094,0.6709999999999999
Papudo,Petorca,Valparaíso,64.2,5643,0.7340000000000001
Petorca,Petorca,Valparaíso,11.6,10074,0.696
Zapallar,Petorca,Valparaíso,288.0,6726,0.743
Quillota,Quillota,Valparaíso,302.0,88803,0.726
La Calera,Quillota,Valparaíso,60.5,55207,0.7
Hijuelas,Quillota,Valparaíso,267.0,19132,0.672
La Cruz,Quillota,Valparaíso,78.0,17346,0.763
Nogales,Quillota,Valparaíso,405.0,26385,0.6890000000000001
San Antonio,San Antonio,Valparaíso,405.0,87697,0.6970000000000001
Algarrobo,San Antonio,Valparaíso,176.0,13472,0.722
Cartagena,San Antonio,Valparaíso,246.0,17029,0.708
El Quisco,San Antonio,Valparaíso,51.0,15829,0.745
El Tabo,San Antonio,Valparaíso,99.0,11861,0.747
Santo Domingo,San Antonio,Valparaíso,536.0,9205,0.7509999999999999
San Felipe,San Felipe de Aconcagua,Valparaíso,186.0,72121,0.73
Catemu,San Felipe de Aconcagua,Valparaíso,361.6,13902,0.669
Llaillay,San Felipe de Aconcagua,Valparaíso,349.1,23680,0.6759999999999999
Panquehue,San Felipe de Aconcagua,Valparaíso,121.9,7569,0.696
Putaendo,San Felipe de Aconcagua,Valparaíso,7.68,17369,0.674
Santa María,San Felipe de Aconcagua,Valparaíso,166.3,14504,0.6990000000000001
Quilpué,Marga Marga,Valparaíso,537.0,162320,0.752
Limache,Marga Marga,Valparaíso,294.0,45864,0.722
Olmué,Marga Marga,Valparaíso,232.0,16243,0.701
Villa Alemana,Marga Marga,Valparaíso,97.0,135368,0.755
Rancagua,Cachapoal,Lib. Gral. Bernardo O'Higgins,260.3,250638,0.732
Codegua,Cachapoal,Lib. Gral. Bernardo O'Higgins,287.0,12725,0.706
Coinco,Cachapoal,Lib. Gral. Bernardo O'Higgins,98.0,7248,0.6779999999999999
Coltauco,Cachapoal,Lib. Gral. Bernardo O'Higgins,225.0,17620,0.644
Doñihue,Cachapoal,Lib. Gral. Bernardo O'Higgins,78.0,21023,0.685
Graneros,Cachapoal,Lib. Gral. Bernardo O'Higgins,113.0,30372,0.691
Las Cabras,Cachapoal,Lib. Gral. Bernardo O'Higgins,749.0,23857,0.6609999999999999
Machalí,Cachapoal,Lib. Gral. Bernardo O'Higgins,2597.0,44566,0.73
Malloa,Cachapoal,Lib. Gral. Bernardo O'Higgins,113.0,14972,0.649
Mostazal,Cachapoal,Lib. Gral. Bernardo O'Higgins,524.0,23430,0.691
Olivar,Cachapoal,Lib. Gral. Bernardo O'Higgins,45.0,13483,0.6609999999999999
Peumo,Cachapoal,Lib. Gral. Bernardo O'Higgins,153.1,14158,0.674
Pichidegua,Cachapoal,Lib. Gral. Bernardo O'Higgins,320.0,18637,0.652
Quinta de Tilcoco,Cachapoal,Lib. Gral. Bernardo O'Higgins,93.0,12144,0.6779999999999999
Rengo,Cachapoal,Lib. Gral. Bernardo O'Higgins,755.0,56188,0.68
Requínoa,Cachapoal,Lib. Gral. Bernardo O'Higgins,673.0,26235,0.6679999999999999
San Vicente,Cachapoal,Lib. Gral. Bernardo O'Higgins,497.8,47716,0.6940000000000001
Pichilemu,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,749.1,13916,0.677
La Estrella,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,435.0,4821,0.696
Litueche,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,619.0,5591,0.645
Marchihue,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,660.0,7557,0.67
Navidad,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,300.0,5650,0.6509999999999999
Paredones,Cardenal Caro,Lib. Gral. Bernardo O'Higgins,562.0,6802,0.628
San Fernando,Colchagua,Lib. Gral. Bernardo O'Higgins,2441.0,75221,0.725
Chépica,Colchagua,Lib. Gral. Bernardo O'Higgins,503.0,15820,0.637
Chimbarongo,Colchagua,Lib. Gral. Bernardo O'Higgins,498.0,35664,0.674
Lolol,Colchagua,Lib. Gral. Bernardo O'Higgins,597.0,6630,0.628
Nancagua,Colchagua,Lib. Gral. Bernardo O'Higgins,111.0,18921,0.665
Palmilla,Colchagua,Lib. Gral. Bernardo O'Higgins,237.0,12373,0.6759999999999999
Peralillo,Colchagua,Lib. Gral. Bernardo O'Higgins,282.6,10933,0.653
Placilla,Colchagua,Lib. Gral. Bernardo O'Higgins,146.9,9624,0.621
Pumanque,Colchagua,Lib. Gral. Bernardo O'Higgins,441.0,3458,0.635
Santa Cruz,Colchagua,Lib. Gral. Bernardo O'Higgins,419.5,35255,0.7190000000000001
Talca,Talca,Maule,232.0,264842,0.731
Constitución,Talca,Maule,1344.0,41416,0.715
Curepto,Talca,Maule,1073.8,9714,0.644
Empedrado,Talca,Maule,565.0,4250,0.637
Maule,Talca,Maule,190.0,21957,0.6809999999999999
Pelarco,Talca,Maule,332.0,7959,0.653
Pencahue,Talca,Maule,956.8,9187,0.649
Río Claro,Talca,Maule,431.0,13020,0.6709999999999999
San Clemente,Talca,Maule,4504.0,39554,0.659
